name	median	min	max	runs	allocs
BenchmarkStatic/rooms16cells/grid1m/body/Blocked	55.6	52.2	56.7	3	0
BenchmarkStatic/rooms16cells/grid1m/body/SweepAll	60.0	55.0	61.0	3	0
BenchmarkStatic/rooms16cells/grid1m/lospair/Sweep	56.5	56.4	57.5	3	0
BenchmarkStatic/rooms16cells/grid1m/lospair/Blocked	51.0	49.7	51.3	3	0
BenchmarkStatic/rooms16cells/grid1m/lospair/SweepAll	54.1	54.0	65.9	3	0
BenchmarkStatic/rooms16cells/grid1m/sight/Sweep	237.8	233.1	243.0	3	0
BenchmarkStatic/rooms16cells/grid1m/sight/Blocked	203.0	201.3	206.7	3	0
BenchmarkStatic/rooms16cells/grid1m/sight/SweepAll	415.0	392.8	416.0	3	0
BenchmarkStatic/rooms16cells/grid1m/losmap/Sweep	259.7	258.8	274.0	3	0
BenchmarkStatic/rooms16cells/grid1m/losmap/Blocked	226.1	224.2	231.9	3	0
BenchmarkStatic/rooms16cells/grid1m/losmap/SweepAll	4726.0	4249.0	4762.0	3	0
BenchmarkStatic/rooms16cells/grid2m/proj/Sweep	41.1	39.6	41.5	3	0
BenchmarkStatic/rooms16cells/grid2m/proj/Blocked	37.9	37.8	39.3	3	0
BenchmarkStatic/rooms16cells/grid2m/proj/SweepAll	36.5	36.0	36.5	3	0
BenchmarkStatic/rooms16cells/grid2m/body/Sweep	67.6	63.4	71.1	3	0
BenchmarkStatic/rooms16cells/grid2m/body/Blocked	62.5	60.9	63.0	3	0
BenchmarkStatic/rooms16cells/grid2m/body/SweepAll	69.2	64.7	70.7	3	0
BenchmarkStatic/rooms16cells/grid2m/lospair/Sweep	56.0	52.1	56.9	3	0
BenchmarkStatic/rooms16cells/grid2m/lospair/Blocked	50.8	44.8	51.9	3	0
BenchmarkStatic/rooms16cells/grid2m/lospair/SweepAll	54.6	51.9	55.0	3	0
BenchmarkStatic/rooms16cells/grid2m/sight/Sweep	192.0	186.1	194.9	3	0
BenchmarkStatic/rooms16cells/grid2m/sight/Blocked	154.9	153.0	157.7	3	0
BenchmarkStatic/rooms16cells/grid2m/sight/SweepAll	292.8	288.9	293.3	3	0
BenchmarkStatic/rooms16cells/grid2m/losmap/Sweep	212.8	211.9	219.4	3	0
BenchmarkStatic/rooms16cells/grid2m/losmap/Blocked	179.1	175.2	181.6	3	0
BenchmarkStatic/rooms16cells/grid2m/losmap/SweepAll	2979.0	2977.0	3078.0	3	0
BenchmarkStatic/rooms16cells/grid4m/proj/Sweep	59.4	52.0	60.1	3	0
BenchmarkStatic/rooms16cells/grid4m/proj/Blocked	54.7	48.8	54.9	3	0
BenchmarkStatic/rooms16cells/grid4m/proj/SweepAll	54.3	49.2	55.7	3	0
BenchmarkStatic/rooms16cells/grid4m/body/Sweep	106.4	100.5	106.8	3	0
BenchmarkStatic/rooms16cells/grid4m/body/Blocked	95.1	92.4	95.2	3	0
BenchmarkStatic/rooms16cells/grid4m/body/SweepAll	105.0	101.7	105.3	3	0
BenchmarkStatic/rooms16cells/grid4m/lospair/Sweep	76.2	72.5	81.6	3	0
BenchmarkStatic/rooms16cells/grid4m/lospair/Blocked	67.2	62.6	84.7	3	0
BenchmarkStatic/rooms16cells/grid4m/lospair/SweepAll	72.6	69.0	95.0	3	0
BenchmarkStatic/rooms16cells/grid4m/sight/Sweep	232.2	221.0	284.1	3	0
BenchmarkStatic/rooms16cells/grid4m/sight/Blocked	158.0	152.7	199.4	3	0
BenchmarkStatic/rooms16cells/grid4m/sight/SweepAll	281.2	272.2	363.1	3	0
BenchmarkStatic/rooms16cells/grid4m/losmap/Sweep	221.7	214.6	273.0	3	0
BenchmarkStatic/rooms16cells/grid4m/losmap/Blocked	174.0	166.7	214.5	3	0
BenchmarkStatic/rooms16cells/grid4m/losmap/SweepAll	2828.0	2743.0	3690.0	3	0
BenchmarkStatic/rooms16cells/grid8m/proj/Sweep	111.0	107.5	137.1	3	0
BenchmarkStatic/rooms16cells/grid8m/proj/Blocked	101.8	97.7	127.6	3	0
BenchmarkStatic/rooms16cells/grid8m/proj/SweepAll	103.9	99.3	132.0	3	0
BenchmarkStatic/rooms16cells/grid8m/body/Sweep	212.5	200.6	279.3	3	0
BenchmarkStatic/rooms16cells/grid8m/body/Blocked	188.0	180.9	256.3	3	0
BenchmarkStatic/rooms16cells/grid8m/body/SweepAll	203.5	197.3	283.9	3	0
BenchmarkStatic/rooms16cells/grid8m/lospair/Sweep	131.7	124.8	172.8	3	0
BenchmarkStatic/rooms16cells/grid8m/lospair/Blocked	113.4	109.3	149.3	3	0
BenchmarkStatic/rooms16cells/grid8m/lospair/SweepAll	121.0	120.1	163.3	3	0
BenchmarkStatic/rooms16cells/grid8m/sight/Sweep	395.2	383.2	526.9	3	0
BenchmarkStatic/rooms16cells/grid8m/sight/Blocked	231.0	222.5	302.9	3	0
BenchmarkStatic/rooms16cells/grid8m/sight/SweepAll	376.6	365.4	506.6	3	0
BenchmarkStatic/rooms16cells/grid8m/losmap/Sweep	299.7	290.1	376.4	3	0
BenchmarkStatic/rooms16cells/grid8m/losmap/Blocked	200.5	194.9	253.5	3	0
