goos: windows
goarch: amd64
pkg: github.com/dvoyni/cog/bundles/ecsphysics2d/proto/queryindex
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkStatic/scatter/bvh4/losmap/SweepAll-32      	   87507	      2751 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/proj/Sweep-32           	  794648	       295.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/proj/Blocked-32         	  782548	       302.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/proj/SweepAll-32        	  783187	       303.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/body/Sweep-32           	  513466	       462.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/body/Blocked-32         	  523754	       457.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/body/SweepAll-32        	  501169	       472.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/lospair/Sweep-32        	  712356	       324.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/lospair/Blocked-32      	  728950	       326.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/lospair/SweepAll-32     	  677181	       335.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/sight/Sweep-32          	  440067	       543.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/sight/Blocked-32        	  486854	       489.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/sight/SweepAll-32       	  411282	       573.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/losmap/Sweep-32         	  238857	      1003 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/losmap/Blocked-32       	  321374	       749.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh8/losmap/SweepAll-32      	   68472	      3454 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/linear/proj/Sweep-32         	    7300	     32668 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/linear/proj/Blocked-32       	    7454	     32976 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/linear/proj/SweepAll-32      	    7686	     30772 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/linear/losmap/Sweep-32       	    7036	     34428 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/linear/losmap/Blocked-32     	    7107	     34506 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/linear/losmap/SweepAll-32    	    7258	     32471 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/proj/Sweep-32         	 6753428	        35.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/proj/Blocked-32       	 7636234	        32.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/proj/SweepAll-32      	 7633951	        32.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/body/Sweep-32         	 4451937	        53.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/body/Blocked-32       	 4870099	        49.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/body/SweepAll-32      	 4621186	        50.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/lospair/Sweep-32      	 4765658	        50.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/lospair/Blocked-32    	 5039919	        46.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/lospair/SweepAll-32   	 4905697	        49.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/sight/Sweep-32        	  999458	       213.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/sight/Blocked-32      	 1288164	       186.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/sight/SweepAll-32     	  602061	       355.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/losmap/Sweep-32       	  969265	       238.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/losmap/Blocked-32     	 1000000	       202.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/losmap/SweepAll-32    	   63639	      3826 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/proj/Sweep-32         	 6598717	        35.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/proj/Blocked-32       	 7880193	        30.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/proj/SweepAll-32      	 7795016	        30.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/body/Sweep-32         	 5255078	        47.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/body/Blocked-32       	 5344627	        42.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/body/SweepAll-32      	 5197414	        47.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/lospair/Sweep-32      	 5255860	        45.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/lospair/Blocked-32    	 6291896	        39.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/lospair/SweepAll-32   	 5603784	        43.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/sight/Sweep-32        	 1516735	       158.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/sight/Blocked-32      	 1721426	       136.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/sight/SweepAll-32     	  921552	       256.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/losmap/Sweep-32       	 1274671	       188.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/losmap/Blocked-32     	 1247548	       187.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/losmap/SweepAll-32    	   90202	      2720 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/proj/Sweep-32         	 5646154	        41.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/proj/Blocked-32       	 6649156	        39.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/proj/SweepAll-32      	 6217503	        39.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/body/Sweep-32         	 3621274	        65.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/body/Blocked-32       	 4016782	        59.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/body/SweepAll-32      	 3807728	        62.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/lospair/Sweep-32      	 4716201	        50.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/lospair/Blocked-32    	 5141266	        46.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/lospair/SweepAll-32   	 5034580	        46.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/sight/Sweep-32        	 1659474	       145.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/sight/Blocked-32      	 2371302	       102.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/sight/SweepAll-32     	 1275616	       188.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/losmap/Sweep-32       	 1439391	       167.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/losmap/Blocked-32     	 1835133	       130.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/losmap/SweepAll-32    	  121414	      1977 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/proj/Sweep-32         	 4078711	        58.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/proj/Blocked-32       	 4000012	        58.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/proj/SweepAll-32      	 4272043	        58.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/body/Sweep-32         	 2457782	        98.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/body/Blocked-32       	 2521810	        95.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/body/SweepAll-32      	 2365677	       100.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/lospair/Sweep-32      	 3816957	        64.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/lospair/Blocked-32    	 4395466	        53.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/lospair/SweepAll-32   	 3765502	        66.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/sight/Sweep-32        	 1314994	       182.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/sight/Blocked-32      	 2143272	       112.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/sight/SweepAll-32     	 1336986	       179.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/losmap/Sweep-32       	 1335421	       179.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/losmap/Blocked-32     	 1856599	       129.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid8m/losmap/SweepAll-32    	  130372	      1830 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/proj/Sweep-32           	 1000000	       211.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/proj/Blocked-32         	 1000000	       224.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/proj/SweepAll-32        	 1000000	       230.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/body/Sweep-32           	  915192	       250.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/body/Blocked-32         	  948954	       245.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/body/SweepAll-32        	  869721	       267.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/lospair/Sweep-32        	  982921	       235.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/lospair/Blocked-32      	  995726	       234.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/lospair/SweepAll-32     	  938563	       248.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/sight/Sweep-32          	  662524	       356.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/sight/Blocked-32        	  866582	       270.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/sight/SweepAll-32       	  558932	       417.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/losmap/Sweep-32         	  573188	       417.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/losmap/Blocked-32       	  895354	       262.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh2/losmap/SweepAll-32      	   85725	      2796 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/proj/Sweep-32           	  882482	       280.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/proj/Blocked-32         	  867772	       261.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/proj/SweepAll-32        	  886653	       271.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/body/Sweep-32           	  634500	       423.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/body/Blocked-32         	  642948	       355.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/body/SweepAll-32        	  605586	       390.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/lospair/Sweep-32        	  813861	       280.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/lospair/Blocked-32      	  868180	       275.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/lospair/SweepAll-32     	  792235	       293.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/sight/Sweep-32          	  528366	       448.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/sight/Blocked-32        	  749858	       316.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/sight/SweepAll-32       	  460608	       527.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/losmap/Sweep-32         	  459338	       518.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/losmap/Blocked-32       	  765769	       307.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh4/losmap/SweepAll-32      	   68692	      3543 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/proj/Sweep-32           	  702288	       325.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/proj/Blocked-32         	  741380	       324.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/proj/SweepAll-32        	  706152	       337.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/body/Sweep-32           	  426226	       557.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/body/Blocked-32         	  464764	       513.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/body/SweepAll-32        	  425071	       564.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/lospair/Sweep-32        	  642466	       364.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/lospair/Blocked-32      	  665187	       332.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/lospair/SweepAll-32     	  640512	       369.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/sight/Sweep-32          	  428617	       550.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/sight/Blocked-32        	  641230	       374.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/sight/SweepAll-32       	  361738	       638.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/losmap/Sweep-32         	  380426	       627.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/losmap/Blocked-32       	  673249	       349.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/bvh8/losmap/SweepAll-32      	   59344	      4055 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/linear/proj/Sweep-32    	    1800	    134411 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/linear/proj/Blocked-32  	    1750	    136646 ns/op	       0 B/op	       0 allocs/op
