name	median	min	max	runs	allocs
BenchmarkBody/map4096/grid1m/sight/Blocked	272.3	235.5	322.8	3	0
BenchmarkBody/map4096/grid1m/sight/SweepAll	410.1	346.8	475.8	3	0
BenchmarkBody/map4096/grid2m/proj/Sweep	30.9	30.7	31.7	3	0
BenchmarkBody/map4096/grid2m/proj/Blocked	28.4	27.0	29.4	3	0
BenchmarkBody/map4096/grid2m/proj/SweepAll	29.1	28.0	29.9	3	0
BenchmarkBody/map4096/grid2m/body/Sweep	38.1	37.9	38.9	3	0
BenchmarkBody/map4096/grid2m/body/Blocked	33.8	33.1	34.6	3	0
BenchmarkBody/map4096/grid2m/body/SweepAll	36.2	36.1	37.6	3	0
BenchmarkBody/map4096/grid2m/lospair/Sweep	37.9	37.9	38.6	3	0
BenchmarkBody/map4096/grid2m/lospair/Blocked	34.6	34.4	36.0	3	0
BenchmarkBody/map4096/grid2m/lospair/SweepAll	36.1	35.9	38.1	3	0
BenchmarkBody/map4096/grid2m/sight/Sweep	179.7	177.4	181.5	3	0
BenchmarkBody/map4096/grid2m/sight/Blocked	155.1	154.7	160.7	3	0
BenchmarkBody/map4096/grid2m/sight/SweepAll	227.5	225.3	231.8	3	0
BenchmarkBody/map4096/grid4m/proj/Sweep	34.3	32.6	34.8	3	0
BenchmarkBody/map4096/grid4m/proj/Blocked	31.1	29.0	32.2	3	0
BenchmarkBody/map4096/grid4m/proj/SweepAll	31.4	29.1	34.0	3	0
BenchmarkBody/map4096/grid4m/body/Sweep	38.0	36.6	43.3	3	0
BenchmarkBody/map4096/grid4m/body/Blocked	35.1	32.5	37.5	3	0
BenchmarkBody/map4096/grid4m/body/SweepAll	39.2	35.1	41.1	3	0
BenchmarkBody/map4096/grid4m/lospair/Sweep	40.6	34.0	41.5	3	0
BenchmarkBody/map4096/grid4m/lospair/Blocked	36.2	35.4	38.4	3	0
BenchmarkBody/map4096/grid4m/lospair/SweepAll	37.0	36.8	40.7	3	0
BenchmarkBody/map4096/grid4m/sight/Sweep	154.1	153.6	156.8	3	0
BenchmarkBody/map4096/grid4m/sight/Blocked	119.2	119.0	123.1	3	0
BenchmarkBody/map4096/grid4m/sight/SweepAll	173.8	172.8	177.7	3	0
BenchmarkOverlap/crowd256/grid1m/point	17.4	16.8	17.7	3	0
BenchmarkOverlap/crowd256/grid1m/r3.1m	476.1	471.0	480.8	3	0
BenchmarkOverlap/crowd256/grid1m/r36.9m	9326.0	9289.0	9434.0	3	0
BenchmarkOverlap/crowd256/grid2m/point	24.3	22.3	25.4	3	0
BenchmarkOverlap/crowd256/grid2m/r3.1m	277.8	275.9	287.0	3	0
BenchmarkOverlap/crowd256/grid2m/r36.9m	3409.0	3252.0	3471.0	3	0
BenchmarkOverlap/crowd256/grid4m/point	47.5	40.1	52.7	3	0
BenchmarkOverlap/crowd256/grid4m/r3.1m	246.4	241.9	259.2	3	0
BenchmarkOverlap/crowd256/grid4m/r36.9m	1786.0	1725.0	1865.0	3	0
BenchmarkOverlap/arena1024/grid1m/point	11.4	10.7	12.6	3	0
BenchmarkOverlap/arena1024/grid1m/r3.1m	256.4	249.8	256.8	3	0
BenchmarkOverlap/arena1024/grid1m/r36.9m	13740.0	13388.0	14168.0	3	0
BenchmarkOverlap/arena1024/grid2m/point	13.7	13.3	14.7	3	0
BenchmarkOverlap/arena1024/grid2m/r3.1m	180.3	175.5	181.6	3	0
BenchmarkOverlap/arena1024/grid2m/r36.9m	6128.0	6118.0	6223.0	3	0
BenchmarkOverlap/arena1024/grid4m/point	18.4	15.2	19.2	3	0
BenchmarkOverlap/arena1024/grid4m/r3.1m	146.3	145.8	153.0	3	0
BenchmarkOverlap/arena1024/grid4m/r36.9m	3691.0	3619.0	3758.0	3	0
BenchmarkOverlap/map4096/grid1m/point	8.4	7.9	8.7	3	0
BenchmarkOverlap/map4096/grid1m/r3.1m	161.4	115.6	175.4	3	0
BenchmarkOverlap/map4096/grid1m/r36.9m	13708.0	11292.0	14687.0	3	0
BenchmarkOverlap/map4096/grid2m/point	9.0	8.6	10.4	3	0
BenchmarkOverlap/map4096/grid2m/r3.1m	51.1	49.5	55.5	3	0
BenchmarkOverlap/map4096/grid2m/r36.9m	4625.0	4553.0	4689.0	3	0
BenchmarkOverlap/map4096/grid4m/point	11.7	10.8	11.9	3	0
BenchmarkOverlap/map4096/grid4m/r3.1m	40.4	31.0	47.6	3	0
BenchmarkOverlap/map4096/grid4m/r36.9m	2515.0	2486.0	2541.0	3	0
BenchmarkBodyUpdate/crowd256/grid1m/Rebuild	5817.0	5805.0	6160.0	3	0
BenchmarkBodyUpdate/crowd256/grid1m/Update	3639.0	3633.0	3775.0	3	0
