goos: windows
goarch: amd64
pkg: github.com/dvoyni/cog/bundles/ecsphysics2d/proto/queryindex
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkStatic/rooms16cells/hash1m/lospair/SweepAll-32        	 2598690	        91.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash1m/sight/Sweep-32             	  575414	       397.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash1m/sight/Blocked-32           	  669922	       358.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash1m/sight/SweepAll-32          	  299224	       796.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash1m/losmap/Sweep-32            	  508624	       456.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash1m/losmap/Blocked-32          	  596658	       403.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash1m/losmap/SweepAll-32         	   23746	     10334 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/proj/Sweep-32              	 5181290	        44.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/proj/Blocked-32            	 5841547	        41.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/proj/SweepAll-32           	 5611999	        42.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/body/Sweep-32              	 3113845	        75.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/body/Blocked-32            	 3691227	        69.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/body/SweepAll-32           	 3085018	        77.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/lospair/Sweep-32           	 3776316	        62.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/lospair/Blocked-32         	 4364492	        55.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/lospair/SweepAll-32        	 3636478	        64.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/sight/Sweep-32             	  893290	       268.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/sight/Blocked-32           	 1110272	       216.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/sight/SweepAll-32          	  493765	       447.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/losmap/Sweep-32            	  811029	       294.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/losmap/Blocked-32          	  959349	       248.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash2m/losmap/SweepAll-32         	   47800	      4996 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/proj/Sweep-32              	 4055608	        60.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/proj/Blocked-32            	 4708171	        52.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/proj/SweepAll-32           	 4461961	        54.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/body/Sweep-32              	 2115847	       113.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/body/Blocked-32            	 2614159	        93.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/body/SweepAll-32           	 2157084	       112.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/lospair/Sweep-32           	 3309810	        73.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/lospair/Blocked-32         	 3565389	        66.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/lospair/SweepAll-32        	 3026793	        74.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/sight/Sweep-32             	  795228	       276.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/sight/Blocked-32           	 1274739	       188.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/sight/SweepAll-32          	  676322	       344.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/losmap/Sweep-32            	  896124	       251.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/losmap/Blocked-32          	 1233428	       195.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/hash4m/losmap/SweepAll-32         	   71390	      3378 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/proj/Sweep-32                   	 8123916	        29.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/proj/Blocked-32                 	 8926147	        27.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/proj/SweepAll-32                	 8618522	        27.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/body/Sweep-32                   	 5980980	        39.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/body/Blocked-32                 	 6347040	        38.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/body/SweepAll-32                	 5977375	        39.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/lospair/Sweep-32                	 5523996	        41.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/lospair/Blocked-32              	 6237718	        38.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/lospair/SweepAll-32             	 6164088	        40.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/sight/Sweep-32                  	  759349	       312.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/sight/Blocked-32                	  806478	       292.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/sight/SweepAll-32               	  663276	       357.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/losmap/Sweep-32                 	  386859	       607.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/losmap/Blocked-32               	  415375	       567.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash1m/losmap/SweepAll-32              	   63102	      3822 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/proj/Sweep-32                   	 8583660	        27.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/proj/Blocked-32                 	 9620472	        25.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/proj/SweepAll-32                	 8874622	        26.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/body/Sweep-32                   	 7494894	        32.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/body/Blocked-32                 	 8076592	        29.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/body/SweepAll-32                	 7669152	        31.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/lospair/Sweep-32                	 7441122	        31.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/lospair/Blocked-32              	 8109614	        29.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/lospair/SweepAll-32             	 7815018	        30.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/sight/Sweep-32                  	 1286134	       186.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/sight/Blocked-32                	 1414664	       169.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/sight/SweepAll-32               	 1000000	       212.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/losmap/Sweep-32                 	  666018	       355.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/losmap/Blocked-32               	  729217	       327.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash2m/losmap/SweepAll-32              	  112482	      2103 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/proj/Sweep-32                   	 8525724	        28.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/proj/Blocked-32                 	 9062280	        25.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/proj/SweepAll-32                	 8969883	        26.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/body/Sweep-32                   	 7609674	        31.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/body/Blocked-32                 	 8371674	        28.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/body/SweepAll-32                	 7853350	        29.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/lospair/Sweep-32                	 7949282	        30.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/lospair/Blocked-32              	 8536246	        28.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/lospair/SweepAll-32             	 8090750	        28.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/sight/Sweep-32                  	 2061636	       115.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/sight/Blocked-32                	 2467629	        95.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/sight/SweepAll-32               	 1943178	       123.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/losmap/Sweep-32                 	  962115	       245.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/losmap/Blocked-32               	 1000000	       214.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/hash4m/losmap/SweepAll-32              	  178752	      1301 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash1m/proj/Sweep-32                    	 2459638	        97.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash1m/proj/Blocked-32                  	 5521543	        42.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash1m/proj/SweepAll-32                 	 2549348	        95.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash1m/body/Sweep-32                    	 1000000	       205.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash1m/body/Blocked-32                  	 5948913	        42.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash1m/body/SweepAll-32                 	 1000000	       207.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash1m/lospair/Sweep-32                 	 1000000	       201.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash1m/lospair/Blocked-32               	 4322890	        55.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash1m/lospair/SweepAll-32              	 1000000	       203.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash1m/sight/Sweep-32                   	 1402489	       171.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash1m/sight/Blocked-32                 	 2254142	       104.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash1m/sight/SweepAll-32                	  222392	      1061 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash2m/proj/Sweep-32                    	 2057920	       117.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash2m/proj/Blocked-32                  	 4200084	        58.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash2m/proj/SweepAll-32                 	 2080617	       115.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash2m/body/Sweep-32                    	 1000000	       202.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash2m/body/Blocked-32                  	 4574974	        52.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash2m/body/SweepAll-32                 	 1000000	       201.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash2m/lospair/Sweep-32                 	 1244205	       193.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash2m/lospair/Blocked-32               	 4615916	        60.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash2m/lospair/SweepAll-32              	 1236244	       194.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash2m/sight/Sweep-32                   	  931640	       253.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash2m/sight/Blocked-32                 	 2441478	        99.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash2m/sight/SweepAll-32                	  286892	       826.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash4m/proj/Sweep-32                    	 1278831	       187.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash4m/proj/Blocked-32                  	 2288658	       104.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash4m/proj/SweepAll-32                 	 1307228	       183.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash4m/body/Sweep-32                    	  849736	       273.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash4m/body/Blocked-32                  	 2961386	        82.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash4m/body/SweepAll-32                 	  888723	       262.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash4m/lospair/Sweep-32                 	  957128	       245.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash4m/lospair/Blocked-32               	 2587270	        91.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash4m/lospair/SweepAll-32              	  970716	       241.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash4m/sight/Sweep-32                   	  488439	       485.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash4m/sight/Blocked-32                 	 2101771	       113.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/hash4m/sight/SweepAll-32                	  327895	       731.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/arena1024/hash1m/proj/Sweep-32                   	 6041397	        41.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/arena1024/hash1m/proj/Blocked-32                 	 7014651	        33.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/arena1024/hash1m/proj/SweepAll-32                	 5868156	        41.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/arena1024/hash1m/body/Sweep-32                   	 2010582	       119.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/arena1024/hash1m/body/Blocked-32                 	 3650872	        64.58 ns/op	       0 B/op	       0 allocs/op
